Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 26,325.28143901769624,245.99546802250632,,Generation 26,343.8880000655625,259.94932968346643,,Generation 26,430.9055491138434,346.5801877127951,,Generation 26,444.2672837271863,337.5485251762393,,Generation 26,457.3710098796156,383.29823761920954,
Generation 27,304.0894442293338,219.93384161275162,,Generation 27,307.5848355177917,251.09136845336468,,Generation 27,405.5741635838327,322.81546791732546,,Generation 27,423.45926664387696,333.1535767669337,,Generation 27,441.4216436603053,384.3611707525123,
Generation 28,263.0120492802171,212.67635406726833,,Generation 28,280.8840929798946,224.39213432356428,,Generation 28,402.6704914892926,325.71606929355073,,Generation 28,384.8837090231783,304.0942798781723,,Generation 28,434.32907320907543,352.8396003649343,
Generation 29,237.59145156849027,171.02243757257634,,Generation 29,272.90936086405117,213.9703403481742,,Generation 29,378.13517757000557,300.77373061810283,,Generation 29,377.5882876428978,290.87787989212154,,Generation 29,411.571127592672,347.05171219600334,
Generation 30,235.23261950793628,184.2240671839795,,Generation 30,260.9232468518723,181.84008430350764,,Generation 30,374.84246766951895,303.0588199869052,,Generation 30,371.2454623756105,266.69316190958546,,Generation 30,413.37856537798143,351.10042510410983,
Generation 31,207.29176507873427,154.59675301568848,,Generation 31,248.61324028524524,191.7999613407303,,Generation 31,348.13747405785296,284.3469518653528,,Generation 31,355.5361968237116,259.12366638269646,,Generation 31,395.50489716356896,325.8413188636471,
Generation 32,184.27227885937532,155.14812680692637,,Generation 32,252.23008734249066,193.17026781434538,,Generation 32,346.92778829621994,266.1350360361797,,Generation 32,325.3094334635074,256.99849110597245,,Generation 32,379.77553077841617,323.2219674383674,
Generation 33,167.54955036505774,130.95612331287043,,Generation 33,247.6492662032047,180.42710277080187,,Generation 33,323.4162503187509,256.88279290277774,,Generation 33,311.25925913952966,258.1162449031401,,Generation 33,380.6280645016517,318.0217851288629,
Generation 34,169.70800591666085,132.44418192280443,,Generation 34,232.4351557338236,175.16058492291188,,Generation 34,320.22140824086637,245.54938854406555,,Generation 34,303.4307698444205,220.26941011989015,,Generation 34,366.1712687603131,308.56594144722146,
Generation 35,167.548561417347,129.50025856727643,,Generation 35,239.1871154863774,163.2150498315076,,Generation 35,318.2852931748248,236.6152903188323,,Generation 35,306.2348448919922,225.6781773639285,,Generation 35,367.40613503786096,301.7028238116675,
Generation 36,146.72437318569823,115.72120326223262,,Generation 36,234.73717631006875,174.30808950870278,,Generation 36,273.09366232077986,199.53854120658798,,Generation 36,281.430125258027,217.0084102558318,,Generation 36,361.4823918267704,288.8904638779487,
Generation 37,132.29876968492405,102.01736043603819,,Generation 37,227.55553900173672,156.43154817991865,,Generation 37,276.72967922849904,208.54670738935863,,Generation 37,268.74613209812543,202.2877113094073,,Generation 37,351.0891121487678,283.8517713779331,
Generation 38,139.71861854535268,103.32645475990728,,Generation 38,224.23936033712314,161.4991299726653,,Generation 38,244.79739836489244,196.38454167165946,,Generation 38,259.6171356986612,201.2019944799581,,Generation 38,345.2466640894461,282.64627589297424,
Generation 39,157.49540216710454,106.06456939572888,,Generation 39,219.53523220097776,150.12646079886156,,Generation 39,235.51390748241909,187.41283608754543,,Generation 39,260.6686911100052,204.00195458143935,,Generation 39,324.16772467965563,275.96107836642466,
