Number of Runs,1
Number of Generations,500
N (Size of Cromosome),100
P (Size of Population),500

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,-20*e(-0.2*sqrt(1/N*SUM(Gene^2))-e(1/N*SUM(Cos(2pi)*Gene)))

Run 1,,,
Generations,Mean,Lowest,
Generation 1,-2.284606472020582,-3.308932808784617,
Generation 2,-3.5810208710241667,-4.557837992070754,
Generation 3,-5.36671093349373,-6.74032174072023,
Generation 4,-7.437576185675532,-8.667776147564602,
Generation 5,-9.646822458389181,-10.992860988403672,
Generation 6,-11.722570420374032,-12.573456707111418,
Generation 7,-13.500428086945268,-14.470724465985768,
Generation 8,-15.060683173871173,-15.853054441488636,
Generation 9,-16.286708052863666,-16.855407961848414,
Generation 10,-17.273056874518208,-17.80154953219305,
Generation 11,-18.071147542908516,-18.512809868949738,
Generation 12,-18.669584453429792,-19.11016687610723,
Generation 13,-19.165515631870733,-19.545722347449765,
Generation 14,-19.621359856553426,-20.109130478621932,
Generation 15,-20.063875500765114,-20.530690277383997,
Generation 16,-20.47145207271865,-20.953483114045863,
Generation 17,-20.843055007787132,-21.228403730438163,
Generation 18,-21.155491391241735,-21.46344565656355,
Generation 19,-21.396391583142705,-21.632084275233343,
Generation 20,-21.57978115091266,-21.75368933088042,
Generation 21,-21.71846508311383,-21.90169406423411,
Generation 22,-21.81831012865431,-21.962917602101555,
Generation 23,-21.898602260808268,-22.021786742553026,
Generation 24,-21.963302772076087,-22.055939310721214,
Generation 25,-22.01388672373514,-22.088685606137826,
Generation 26,-22.054814527812297,-22.109793672732785,
Generation 27,-22.086351544001378,-22.126448012042125,
Generation 28,-22.10940603807913,-22.171156015824284,
Generation 29,-22.129286912854546,-22.180640898472674,
Generation 30,-22.144920885290848,-22.17069723680431,
Generation 31,-22.15808733215939,-22.18147358962586,
Generation 32,-22.168785755472463,-22.198406731850422,
Generation 33,-22.17863300252911,-22.212461660793945,
Generation 34,-22.18790387528056,-22.22779324240738,
Generation 35,-22.198052362205416,-22.237790120386972,
Generation 36,-22.209627876764745,-22.2480570349324,
Generation 37,-22.220597900694692,-22.25678680008996,
Generation 38,-22.233312145896907,-22.274884047901896,
Generation 39,-22.246079062708965,-22.275978354110627,
Generation 40,-22.25748590953131,-22.280722978352824,
Generation 41,-22.267023975410257,-22.288618224154195,
Generation 42,-22.27487164282005,-22.29731062066204,
Generation 43,-22.281280570454534,-22.30179748761462,
Generation 44,-22.286319931492404,-22.304392799738928,
Generation 45,-22.290990767033453,-22.306949378391526,
Generation 46,-22.295732157966388,-22.30818831859218,
Generation 47,-22.29979699208427,-22.311251530279048,
Generation 48,-22.303293022642617,-22.310677268990776,
Generation 49,-22.306004266364567,-22.312060434840248,
Generation 50,-22.30811989174403,-22.31213835539223,
Generation 51,-22.309567852950753,-22.31279865806138,
Generation 52,-22.310709613214208,-22.313279754656968,
Generation 53,-22.311591813672155,-22.313532317715545,
Generation 54,-22.312397380848648,-22.314486244374734,
Generation 55,-22.313070713789763,-22.314654846534737,
Generation 56,-22.31366404780862,-22.31502548454496,
Generation 57,-22.314166502258942,-22.315275181476633,
Generation 58,-22.31456102568891,-22.315503100835894,
Generation 59,-22.314895534764776,-22.315644740815006,
Generation 60,-22.315134476495867,-22.315822868030327,
Generation 61,-22.315320159418313,-22.315949374542562,
Generation 62,-22.315489107046062,-22.316051211282748,
Generation 63,-22.315655853582463,-22.31625989441065,
Generation 64,-22.31583531814365,-22.31628449853402,
Generation 65,-22.31600199016421,-22.316489780810013,
Generation 66,-22.31614750629335,-22.31662102074166,
Generation 67,-22.31626275144771,-22.316647664640552,
Generation 68,-22.31635437826483,-22.316610112624797,
Generation 69,-22.31643840636483,-22.316648141941712,
Generation 70,-22.316508621540763,-22.316687910581805,
Generation 71,-22.316563025891856,-22.316707253322186,
Generation 72,-22.316610569480286,-22.316732476066758,
Generation 73,-22.316653941047356,-22.316766362771496,
Generation 74,-22.316693985707985,-22.316785908130683,
Generation 75,-22.31672939952738,-22.31680308882595,
Generation 76,-22.316758549438976,-22.31681100854722,
Generation 77,-22.316783460074472,-22.316835433645267,
Generation 78,-22.316802819211528,-22.316850541742426,
Generation 79,-22.316817829271898,-22.316852928472915,
Generation 80,-22.31682981008843,-22.316858367536586,
Generation 81,-22.31684037171092,-22.31686652998234,
Generation 82,-22.31684932191465,-22.31687410155297,
Generation 83,-22.316857049525794,-22.316876031906023,
Generation 84,-22.31686374663584,-22.31687858859917,
Generation 85,-22.31686859107413,-22.316879859394646,
Generation 86,-22.316873046943236,-22.31688238689882,
Generation 87,-22.316876694155834,-22.316885538477344,
Generation 88,-22.31687957461522,-22.31688830549415,
Generation 89,-22.316882004458137,-22.316889926755444,
Generation 90,-22.316884408664375,-22.316890662760205,
Generation 91,-22.316886534758982,-22.316891488007375,
Generation 92,-22.316888507454777,-22.31689229487214,
Generation 93,-22.316889999885635,-22.3168932451297,
Generation 94,-22.316891222714446,-22.316893916010603,
Generation 95,-22.316892193865606,-22.31689493924437,
Generation 96,-22.316893046262777,-22.31689520440202,
Generation 97,-22.31689378417828,-22.316895648777773,
Generation 98,-22.316894385823694,-22.316896066879693,
Generation 99,-22.31689492358255,-22.31689629893184,
Generation 100,-22.316895355054488,-22.31689667204547,
Generation 101,-22.316895779953235,-22.316896682474493,
Generation 102,-22.316896123193196,-22.316896911998317,
Generation 103,-22.3168964331892,-22.31689706747038,
