Number of Runs,1
Number of Generations,30
N (Size of Cromosome),100
P (Size of Population),500

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,
Generations,Mean,Lowest,
Generation 1,1788.5819920080842,1406.8181698626026,
Generation 2,1682.3261832590888,1431.755192517377,
Generation 3,1584.4009370457916,1351.0069970722318,
Generation 4,1496.9712651570462,1267.3096936219,
Generation 5,1419.8968846274724,1176.2164333815626,
Generation 6,1343.4685983812526,1154.8073137016097,
Generation 7,1261.654843575774,1037.3714524281952,
Generation 8,1187.957105985339,987.7942582989384,
Generation 9,1117.3602399770589,925.5550222921158,
Generation 10,1042.2607415773975,839.0490570335875,
Generation 11,981.789418548546,822.6748255386638,
Generation 12,919.2784837166879,748.6367354317867,
Generation 13,858.2860071198261,693.3663075927269,
Generation 14,802.5167969428411,637.3422040981727,
Generation 15,757.7746323468349,628.6603665766315,
Generation 16,715.6400038740993,556.4197250461741,
Generation 17,667.2607953393556,507.47595666209656,
Generation 18,623.8534962758745,492.6060929149802,
Generation 19,581.1005008918316,447.67370111768764,
Generation 20,543.0501583173065,429.21234822546774,
Generation 21,507.7831634975665,400.6045937541103,
Generation 22,474.66249432629286,374.4637217940999,
Generation 23,445.25133285203054,327.7105851685985,
Generation 24,412.9308405817535,329.37565022694275,
Generation 25,387.0593221389029,291.6810507796374,
Generation 26,364.50622840039733,271.3344032414932,
Generation 27,344.05531287197704,278.91374225972027,
Generation 28,330.0489253210486,251.81675567209822,
Generation 29,311.74712566010754,243.49326351897503,
Generation 30,297.87423743294147,237.26163236341438,
Best,297.87423743294147,237.26163236341438,
Generation,30,30,

14-55-05
"The following was done with an adaptive random reset prob and a mutation prob, the rate at which they happen is 0.01 for rest and 0.02 for muation, the step rate is big little, randomly chosen and adaptive big 1,4 little 0.5 1"
