Number of Runs,1,,,,,,
,,,,,,,
Number of Generations,100,,,,,,
,,,,,,,
N (Size of Cromosome),100,,,,,,
,,,,,,,
P (Size of Population),100,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Selection,Tornamunt,,,,,,
,,,,,,,
Tornamunt Size,2,,,,,,
,,,,,,,
Crossover,Uniform,,,,,,
,,,,,,,
Uniform probablitly,0.5,,,,,,
,,,,,,,
Mutation,Creep,,,,,,
,,,,,,,
,,,,,,,
Generation 79,448.1271378,448.0660798,,,,,
,,,,,,,
Generation 80,448.0692558,448.0660798,,,,,
,,,,,,,
Generation 81,448.0660798,448.0660798,,,,,
,,,,,,,
Generation 82,1017.750587,805.7620684,,,,,
,,,,,,,
Generation 83,1315.814238,1042.793113,,,,,
,,,,,,,
Generation 84,1490.281972,1229.823929,,,,,
,,,,,,,
Generation 85,1598.168207,1299.186634,,,,,
,,,,,,,
Generation 86,1683.451568,1442.233613,,,,,
,,,,,,,
Generation 87,1719.634694,1468.649597,,,,,
,,,,,,,
Generation 88,1728.975816,1457.500377,,,,,
,,,,,,,
Generation 89,1741.80756,1468.772516,,,,,
,,,,,,,
Generation 90,1753.11377,1518.094631,,,,,
,,,,,,,
Generation 91,1759.340455,1518.705764,,,,,
,,,,,,,
Generation 92,1772.93908,1512.483658,,,,,
,,,,,,,
Generation 93,1769.509848,1363.587732,,,,,
,,,,,,,
Generation 94,1763.190328,1500.173698,,,,,
,,,,,,,
Generation 95,1778.482779,1517.095795,,,,,
,,,,,,,
Generation 96,1777.932381,1540.856727,,,,,
,,,,,,,
Generation 97,1771.086799,1526.89635,,,,,
,,,,,,,
Generation 98,1773.793961,1548.346737,,,,,
,,,,,,,
Generation 99,1780.970511,1524.525808,,,,,
,,,,,,,
Generation 100,1773.711806,1463.808102,,,,,
,,,,,,,
Best,448.0660798,448.0660798,,,,,
,,,,,,,
Generation,81,72,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1,2,-,1,1,-,2,7
