Number of Runs,2
Number of Generations,1000
N (Size of Cromosome),5
P (Size of Population),20

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.01

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,
Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,
Generation 1,62.862558256211,29.606393916035053,2.190115989588396,,Generation 1,77.6107312165406,50.39425522656473,2.4883978739229735,
Generation 2,49.030104462188014,29.279951102270008,1.9446046776224553,,Generation 2,63.18365050560989,40.46205862187606,2.305656602889633,
Generation 3,37.32981467795129,22.543700180981332,1.6807354053775703,,Generation 3,54.58114935629408,35.7949208061461,1.7951363479529658,
Generation 4,31.89702909587404,22.543700180981332,1.7350452583666083,,Generation 4,44.922528099134226,25.267895384868726,1.4337486319989199,
Generation 5,26.58316861125699,21.318177312188816,1.558154272852879,,Generation 5,36.21814235579655,24.087724610015716,1.2061172223708079,
Generation 6,25.352552193441767,15.940775963093643,1.5707774196498174,,Generation 6,28.577155635828994,20.445031378220744,1.361555051856971,
Generation 7,20.078988807564873,15.940775963093643,1.276982941583085,,Generation 7,24.522372297888882,20.445031378220744,1.4684463709953566,
Generation 8,16.931214595776794,15.940775963093643,1.2351406932398352,,Generation 8,23.11633705331601,19.032081810446396,1.438385891179623,
Generation 9,16.770357424802583,15.940775963093643,1.2318760658855383,,Generation 9,21.137208930395442,19.032081810446396,1.4053707794097063,
Generation 10,15.940775963093643,15.940775963093643,1.2382798936715562,,Generation 10,20.220425205927995,17.235063946846964,1.4292954549723662,
Generation 11,15.864409581507996,14.822013057053702,1.2383306335399729,,Generation 11,18.92733388662309,17.235063946846964,1.3676902489048015,
Generation 12,16.463478031798118,14.822013057053702,1.2348906085793019,,Generation 12,20.342589228320985,17.235063946846964,1.4309694506377577,
Generation 13,15.482577673579764,14.413448331380707,1.2385824409029613,,Generation 13,17.50461662638687,17.235063946846964,1.3618572732936043,
Generation 14,14.897421420727193,14.413448331380707,1.2377457850455165,,Generation 14,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 15,14.83024593969923,14.413448331380707,1.240119614296014,,Generation 15,18.579389079130557,17.235063946846964,1.3741515661310355,
Generation 16,14.708879944033294,14.413448331380707,1.2491298038642409,,Generation 16,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 17,15.195163468570286,14.413448331380707,1.2374937025983161,,Generation 17,17.870713996383323,17.235063946846964,1.3659092430859943,
Generation 18,14.413448331380716,14.413448331380707,1.2392707394948679,,Generation 18,18.99110614822652,17.235063946846964,1.4343314104291998,
Generation 19,16.685310010602297,14.413448331380707,1.337932595329758,,Generation 19,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 20,15.346885305030986,14.413448331380707,1.236698691700561,,Generation 20,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 21,14.413448331380716,14.413448331380707,1.2392707394948679,,Generation 21,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 22,14.78110525983195,14.413448331380707,1.2489757465746945,,Generation 22,17.67037832319942,17.235063946846964,1.359755113526126,
Generation 23,14.413448331380716,14.413448331380707,1.2392707394948679,,Generation 23,17.643692808102404,17.235063946846964,1.3684950954755113,
Generation 24,14.640173096840055,14.413448331380707,1.238454192838816,,Generation 24,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 25,14.413448331380716,14.413448331380707,1.2392707394948679,,Generation 25,18.314340516367444,17.235063946846964,1.4199753637388766,
Generation 26,15.26379033408644,14.413448331380707,1.2371389144400347,,Generation 26,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 27,14.413448331380716,14.413448331380707,1.2392707394948679,,Generation 27,18.399010346013977,17.235063946846964,1.430502226695535,
Generation 28,14.838087070962791,14.413448331380707,1.2362558194982918,,Generation 28,18.031451036738726,17.235063946846964,1.3605040963829205,
Generation 29,14.413448331380716,14.413448331380707,1.2392707394948679,,Generation 29,19.495966542771917,17.235063946846964,1.3641730789561684,
Generation 30,15.540603355641869,14.413448331380707,1.2676771646008123,,Generation 30,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 31,14.84086153915907,12.463475232276842,1.238628149194569,,Generation 31,17.235063946846957,17.235063946846964,1.364877923729603,
Generation 32,16.47787355421282,12.463475232276842,1.2379035684538076,,Generation 32,17.524603520180904,17.235063946846964,1.3619347978127834,
Generation 33,16.215894582444015,12.463475232276842,1.2617364477021942,,Generation 33,19.72644094014263,17.235063946846964,1.4214608551766705,
Generation 34,13.567300714066562,12.463475232276842,1.2450752003310515,,Generation 34,19.496796259187214,17.235063946846964,1.452345487027895,
Generation 35,13.693281515861903,12.463475232276842,1.2861067499343943,,Generation 35,17.235063946846957,17.235063946846964,1.364877923729603,
