Number of Runs,1
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),100

Selection,Survivor
Survivor Elite percentage,0.4
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,1,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,
Generations,Mean,Lowest,All Gene Stand Div,
Generation 1,1769.4110637448716,1543.6185756343257,2.8709615243900304,
Generation 2,1715.7423270028996,1513.6325226421973,2.818079526230688,
Generation 3,1656.4640390300035,1496.8617188014373,2.7440882523770287,
Generation 4,1609.8655451219634,1419.1046567891538,2.7001471933358947,
Generation 5,1563.7132134019114,1389.9548306607933,2.6552842964482157,
Generation 6,1513.5575917150418,1316.9575237233184,2.6255735581308217,
Generation 7,1451.647207863713,1280.3679671247994,2.57571941406225,
Generation 8,1396.3352540239057,1256.3066636728556,2.525654480531312,
Generation 9,1347.6044249138445,1224.3976249861869,2.480962684042376,
Generation 10,1301.1249548233181,1136.1644371176305,2.4058480586029884,
Generation 11,1261.5218769807827,1140.9337351842394,2.362927930539673,
Generation 12,1217.2763794523992,1102.298308225034,2.3215499858958495,
Generation 13,1177.3509008426756,1031.02757878157,2.25162622552095,
Generation 14,1132.103113884706,980.8561183816314,2.225564861777725,
Generation 15,1089.9367595366969,981.7710235292202,2.196325221761862,
Generation 16,1051.0790753477022,914.8768777959172,2.184446672792609,
Generation 17,1010.2894691639879,852.1146700523024,2.1602322612376943,
Generation 18,970.1025228244412,833.695961903595,2.119203497296545,
Generation 19,934.5888315518666,768.4748696873264,2.0832624436667326,
Generation 20,893.6129120092306,773.6388608482688,2.007907825628834,
Generation 21,859.0826792596374,728.8490047602766,1.9658191136840604,
Generation 22,820.5406150917657,721.2948471289692,1.9002675526800348,
Generation 23,790.6242683626475,703.2141881037352,1.8687376419488704,
Generation 24,760.0788343506886,657.070145583255,1.819852124220016,
Generation 25,738.4957001666693,657.8905900161899,1.7835947509051668,
Generation 26,717.1368685088105,607.0266823040039,1.7250607576268893,
Generation 27,687.0868592113668,608.3165551054435,1.6758738019175825,
Generation 28,672.1708562599006,603.6399763868078,1.6505207787625698,
Generation 29,653.5416267395702,568.5324779268792,1.6181527945252079,
Generation 30,638.5431376638064,576.8163156106805,1.619086524289916,
Generation 31,622.6626036097582,559.2771322339311,1.6102405218169178,
Generation 32,609.9312897150136,542.664894229573,1.5956166116641817,
Generation 33,589.0281276832548,534.1683240947898,1.5781250467443406,
Generation 34,574.7630263644697,498.2256387712806,1.540220375496038,
Generation 35,561.2749000995753,480.7009889089379,1.518782328757691,
Generation 36,542.8696355378604,471.07400267271794,1.4766422848923284,
Generation 37,521.9781076888428,465.5752039904995,1.4521078032494332,
Generation 38,513.2891868813872,436.4400926182841,1.4538321222390398,
Generation 39,498.847968816073,425.63043521471104,1.437952435432516,
Generation 40,484.29403817785345,436.49311615130364,1.431838122600939,
Generation 41,470.99920108335783,416.2840039286665,1.4236608537931754,
Generation 42,459.90228119784183,384.46555610045436,1.4118080794439434,
Generation 43,448.2028386255673,392.38844555736114,1.4075777082415792,
Generation 44,439.2284944886936,392.8757594065954,1.4060957167293546,
Generation 45,434.6525329069385,378.25479199703034,1.4085964086084546,
Generation 46,427.0757377476398,367.1976404845541,1.3978802019396217,
Generation 47,415.1883530636361,367.8311772217535,1.3888887132535555,
Generation 48,408.1632384437037,349.0151781492639,1.3860935523152647,
Generation 49,400.413075922939,353.79745374094955,1.380298741496564,
Generation 50,396.39222808823354,353.1421414762773,1.371328449215287,
Generation 51,389.39255322042084,339.92355080202606,1.3621071115141965,
Generation 52,383.6151474943596,339.1649835463154,1.3598096017166057,
Generation 53,378.9313195006925,338.5047139745732,1.3586297177333542,
Generation 54,378.48194400924376,333.0176961951245,1.3522759538367792,
Generation 55,377.89028973158463,335.1519499220567,1.345677285303411,
Generation 56,376.05772420366486,324.1702649004113,1.3387471972730696,
Generation 57,373.48705630322445,327.45645272346405,1.3430784418061559,
Generation 58,367.50218176208057,320.132768967278,1.3334296898183446,
