Number of Runs,1
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),100

Selection,Survivor
Survivor Elite percentage,0.6
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,1,Mutation Rate,0.5

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,
Generations,Mean,Lowest,All Gene Stand Div,
Generation 1,1782.0858186207531,1571.7940674939546,2.8734498740828185,
Generation 2,1722.7787890262732,1528.335585870123,2.813350228625026,
Generation 3,1666.0247519364168,1451.5315370715616,2.7437597394418733,
Generation 4,1601.64510857091,1448.5240490884148,2.6726776972793878,
Generation 5,1548.291310749496,1408.223531331364,2.6094035817263888,
Generation 6,1492.0603600438885,1321.608930812865,2.563001780570685,
Generation 7,1436.382491551324,1290.8043830782556,2.498944815333303,
Generation 8,1387.634205733038,1237.7979982484121,2.4505098691433296,
Generation 9,1339.7944502856337,1133.015070507264,2.373092014872282,
Generation 10,1288.7346277098013,1080.5884939669497,2.325680120144493,
Generation 11,1239.981387045519,1081.9919920346797,2.2863140425141224,
Generation 12,1193.7308628786661,996.6862417563045,2.241055009016942,
Generation 13,1144.4905319107688,978.346424150598,2.1850912204395363,
Generation 14,1092.3469881359167,962.6692091261308,2.1347849494870914,
Generation 15,1047.5821916347734,892.8011848962846,2.1050234652490345,
Generation 16,1000.9950639109753,833.7871000667535,2.054365179907577,
Generation 17,963.7687249925672,858.0438250675769,2.0048443979695305,
Generation 18,936.4203283159205,802.7237021265169,1.9839552916989591,
Generation 19,907.6177782301099,780.6590386449187,1.9428439080341835,
Generation 20,874.2821483870509,737.0289431750188,1.9089837529181113,
Generation 21,836.8302357103883,694.2018369482646,1.8807209324926046,
Generation 22,808.6052873818666,695.6826883942733,1.8344939399226832,
Generation 23,779.7951019758632,679.6828540614301,1.7892342049038326,
Generation 24,755.3982040150094,641.5841317679569,1.7528885882385958,
Generation 25,734.0752325835194,663.8255816437836,1.719854052556387,
Generation 26,705.4090193105773,620.0865463806011,1.71057475171015,
Generation 27,686.5472920297009,596.601348205405,1.690208673875368,
Generation 28,661.0310340503842,554.86525443957,1.6603684397474365,
Generation 29,636.0579526327722,553.477324676436,1.6248952357719761,
Generation 30,615.4603165658103,516.3285892192225,1.591574644529302,
Generation 31,592.5462130965943,500.35611440749,1.5745976326118378,
Generation 32,575.3429131267415,505.96158144535724,1.554926068195416,
Generation 33,556.1784395697928,478.8065287406554,1.5434016777357307,
Generation 34,539.0424245990696,465.37792602134357,1.5338467302688752,
Generation 35,521.9823249350625,462.89340362684163,1.5276759603152152,
Generation 36,512.6362404855024,449.196776009735,1.5124078374777872,
Generation 37,495.8806736923226,421.4107271305336,1.5024015998589686,
Generation 38,480.51272170925483,416.92959877969326,1.486799193330228,
Generation 39,469.17420865861067,409.3378971810355,1.4709200472377244,
Generation 40,455.5694279773916,396.5870833801931,1.4603045463619861,
Generation 41,441.7341125054757,391.04285309909903,1.4479753406845464,
Generation 42,433.4500859658469,378.12519841543394,1.437231720402439,
Generation 43,426.0985111342364,371.40989687569413,1.4263236690717647,
Generation 44,415.5888819511737,355.7661195909766,1.4208509144244212,
Generation 45,407.78586720671905,367.8987712520926,1.418996442839468,
Generation 46,402.442809315565,349.7897424698888,1.4199903214900265,
Generation 47,402.9951600917596,353.75425274482586,1.417813983629041,
Generation 48,392.9673825459296,344.19569975492334,1.4133442657194804,
Generation 49,388.64657308743017,342.37094825534075,1.4115585682136682,
Generation 50,383.81002654276665,331.8198040429493,1.4036182412463083,
Generation 51,374.7544728685965,324.453091107878,1.3977636806539424,
Generation 52,371.1622466685252,320.5974438738433,1.4011617581615368,
Generation 53,368.39455408797176,319.67160940248914,1.3985705843985419,
Generation 54,364.08815676936143,314.0016126866419,1.3987539158991973,
Generation 55,360.9085201729203,302.37123944642974,1.393300742136497,
Generation 56,357.0699470557006,305.00182417902556,1.3919182580659248,
Generation 57,351.37394468514435,310.26871928183607,1.3855622636253382,
Generation 58,352.258579188101,313.52104917957195,1.3810636345370098,
Generation 59,349.53686669259764,301.9480859145332,1.3823710903651063,
Generation 60,344.82902195697017,303.33931449047145,1.3823546128920199,
Generation 61,341.4082480405994,302.09175107607575,1.3721601945414221,
Generation 62,340.7368332964521,294.4516566076684,1.3675673467215321,
Generation 63,334.3948073440425,297.5813162217472,1.3611552925294308,
Generation 64,333.5626786697337,291.866718004326,1.3511430178119697,
Generation 65,329.20687028310886,280.5286963114909,1.3436610918282306,
Generation 66,328.1671394717213,286.4726144009486,1.3382078677923825,
Generation 67,321.6761433238988,283.72553096012314,1.331812340124741,
Generation 68,322.61278842960576,270.8492559620479,1.3289594622854095,
Generation 69,318.9352415056234,272.8636391444595,1.3280729888879372,
Generation 70,314.42886537555654,271.1908995040086,1.3152866088307404,
Generation 71,312.15577419300917,263.0964383867697,1.305296004724315,
Generation 72,727.7096265621997,589.3829982173008,1.3593191070593489,
Generation 73,924.3269352182509,773.3113928022709,1.418152550516075,
Generation 74,1048.3911802283844,854.2678010437139,1.461020848417381,
Generation 75,1109.9367639488764,893.5860987600042,1.5067466524416442,
Generation 76,1135.0708680545997,923.0114518696845,1.5220496412644497,
Generation 77,1138.1461355890071,958.2353886353966,1.5405627135421864,
Generation 78,1150.6786856509686,987.9829437450529,1.5486639544196275,
Generation 79,1160.0708078408845,1010.6991364548433,1.5566250512773594,
Generation 80,1163.554444784961,986.4684978477669,1.5821607826361506,
Generation 81,1177.7712744103092,982.47039822851,1.5995973162232304,
Generation 82,1170.2979245505937,1027.5205612498187,1.610131101830567,
Generation 83,1187.3027954017584,955.6927323796075,1.6324026722913576,
Generation 84,1179.0321909391553,991.2278059751028,1.625923398758285,
Generation 85,1180.6724501464082,1007.3367224611576,1.599169604568946,
Generation 86,1184.4146101791232,989.9920880395202,1.6458165488370533,
Generation 87,1179.2173880741313,986.5228843288037,1.6646262291455824,
Generation 88,1191.8300266857166,1007.6308770687907,1.679923043656636,
Generation 89,1194.000685877912,1015.0623915180493,1.68197526255779,
Generation 90,1198.553590237414,1027.293259475048,1.6661923713364792,
Generation 91,1197.6263560475206,1008.320102477162,1.6620678728920895,
Generation 92,1168.3804543910367,966.1120465692192,1.6458142226041492,
Generation 93,1183.4398005203348,1010.6505660654686,1.6682689273807214,
Generation 94,1179.1356187022536,977.1989672730459,1.6772014535169788,
Generation 95,1188.2630283776316,995.5348012028226,1.6981900594168688,
Generation 96,1204.8917948760002,989.1374180316807,1.7230562260570015,
Generation 97,1216.7280307946703,1036.5482991686747,1.74135131377632,
Generation 98,1227.4713137471058,1063.9528600806325,1.746939633743263,
Generation 99,1230.550881326103,986.0698160746437,1.7294975881962598,
Generation 100,1215.5908429496124,1036.1673839157286,1.7179837508268334,
Best,312.15577419300917,263.0964383867697,
Generation,71,71,

1,6,-,4,3,-,2,9
