Number of Runs,1,,,,,,
,,,,,,,
Number of Generations,1000,,,,,,
,,,,,,,
N (Size of Cromosome),100,,,,,,
,,,,,,,
P (Size of Population),100,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Selection,Survivor,,,,,,
,,,,,,,
Survivor Elite percentage,0.2,,,,,,
,,,,,,,
Crossover,Uniform,,,,,,
,,,,,,,
Uniform probablitly,0.5,,,,,,
,,,,,,,
Mutation,Creep,,,,,,
,,,,,,,
Step size,0.5,Mutation Rate,0.01,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene),,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Run 1,,,,,,,
,,,,,,,
Generations,Mean,Lowest,All Gene Stand Div,,,,
,,,,,,,
Generation 1,1772.808323,1562.245096,,,,,
,,,,,,,
Generation 2,1719.2414,1511.014437,,,,,
,,,,,,,
Generation 3,1657.949072,1419.142683,,,,,
,,,,,,,
Generation 4,1596.283169,1361.369003,,,,,
,,,,,,,
Generation 5,1523.721808,1347.999169,,,,,
,,,,,,,
Generation 6,1458.813128,1309.295591,,,,,
,,,,,,,
Generation 7,1408.409969,1220.54604,,,,,
,,,,,,,
Generation 8,1353.41772,1164.745353,,,,,
,,,,,,,
Generation 9,1304.683685,1079.655909,,,,,
,,,,,,,
Generation 10,1247.811467,1041.806144,,,,,
,,,,,,,
Generation 11,1185.811261,1033.29625,,,,,
,,,,,,,
Generation 12,1136.797486,972.2011817,,,,,
,,,,,,,
Generation 13,1093.451356,984.4757869,,,,,
,,,,,,,
Generation 14,1058.651857,929.7274489,,,,,
,,,,,,,
Generation 15,1032.388202,850.3917924,,,,,
,,,,,,,
Generation 16,999.6408031,861.447663,,,,,
,,,,,,,
Generation 17,959.1674561,797.7279987,,,,,
,,,,,,,
Generation 18,919.5825065,810.1387598,,,,,
,,,,,,,
Generation 19,887.6178616,748.6948684,,,,,
,,,,,,,
Generation 20,851.5086584,770.9866967,,,,,
,,,,,,,
Generation 21,827.1525338,720.1180967,,,,,
,,,,,,,
Generation 22,796.6671183,687.2493347,,,,,
,,,,,,,
Generation 23,767.5801609,666.7377189,,,,,
,,,,,,,
Generation 24,745.1561691,674.0101238,,,,,
,,,,,,,
Generation 25,724.8550786,644.071321,,,,,
,,,,,,,
Generation 26,705.4993857,610.9890437,,,,,
,,,,,,,
Generation 27,691.0041051,621.1219886,,,,,
,,,,,,,
Generation 28,677.0097775,586.0646912,,,,,
,,,,,,,
Generation 29,651.8890535,558.9272088,,,,,
,,,,,,,
Generation 30,633.9658032,552.344141,,,,,
,,,,,,,
Generation 31,619.4219836,534.8695459,,,,,
,,,,,,,
Generation 32,601.1959217,519.7273283,,,,,
,,,,,,,
Generation 33,579.6460479,518.0367321,,,,,
,,,,,,,
Generation 34,568.3487865,490.0794564,,,,,
,,,,,,,
Generation 35,552.6650854,474.272455,,,,,
,,,,,,,
Generation 36,537.7109391,479.5744393,,,,,
,,,,,,,
Generation 37,525.1038455,469.795134,,,,,
,,,,,,,
Generation 38,517.8491204,459.9510385,,,,,
,,,,,,,
Generation 39,515.3273322,446.8865086,,,,,
,,,,,,,
