Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.4
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,1,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 26,658.623343305321,518.6731649075091,,Generation 26,530.2377560711961,442.91418970008704,,Generation 26,518.9362596772683,426.6861535253738,,Generation 26,513.6874226291158,423.0554838876253,,Generation 26,527.1393908218137,438.94723192877564,
Generation 27,629.6382678463535,510.95060600972937,,Generation 27,504.0436309716374,438.77296785765384,,Generation 27,496.7988832680965,408.32156045760416,,Generation 27,495.7374107726413,415.2279451840416,,Generation 27,509.88856861947016,413.39692942077306,
Generation 28,599.906202688018,476.5942181511123,,Generation 28,487.07079268246446,400.5304903626295,,Generation 28,477.7481850930791,401.77627102648796,,Generation 28,476.34027020263403,392.7729811047187,,Generation 28,490.48942477803996,405.4433589599025,
Generation 29,572.8863541838296,472.899036675954,,Generation 29,468.66414601016544,374.79469644369806,,Generation 29,461.5031512515455,375.45803890548245,,Generation 29,455.7198073552239,384.4676407955775,,Generation 29,470.82582868297004,400.57823810983496,
Generation 30,555.1633204173103,470.0686892318985,,Generation 30,450.75528225018104,373.1005765318607,,Generation 30,445.0836871428178,368.04699593463556,,Generation 30,438.4946483424594,374.47149327929947,,Generation 30,456.9311243252112,358.60312381694723,
Generation 31,535.7045090324831,437.87906346888246,,Generation 31,436.73200129891353,360.29111048650657,,Generation 31,430.68283418800996,350.5083697004545,,Generation 31,431.49550629658916,360.3267588232213,,Generation 31,441.1532346376631,371.96062144767996,
Generation 32,510.8147347405133,416.905264943332,,Generation 32,424.1403694629862,349.64553608319295,,Generation 32,413.55145497826595,341.7479419950139,,Generation 32,418.45568024051005,339.13419514871987,,Generation 32,426.6763606125428,355.1282026547674,
Generation 33,484.76537918673785,401.1734636545468,,Generation 33,408.77845679979805,324.9644425790415,,Generation 33,398.34969165361036,329.1485373423351,,Generation 33,401.2693431636666,320.07180715794823,,Generation 33,415.87416583664526,359.34288247581435,
Generation 34,460.76554440064626,385.33826044926025,,Generation 34,393.9023104865719,310.99631759930935,,Generation 34,385.2353331183717,320.0186482787948,,Generation 34,392.34829045540204,287.33167234756706,,Generation 34,406.94438588707715,344.4830049429489,
Generation 35,445.7501472320746,364.00080508930466,,Generation 35,380.5799916470499,312.4098080733236,,Generation 35,376.2175794348947,302.365867666031,,Generation 35,377.65075098036993,302.78696426176816,,Generation 35,396.11859374529695,332.06681842440184,
Generation 36,425.5034734353427,353.9546364774353,,Generation 36,369.91205776439926,294.50769667231566,,Generation 36,365.0615639975683,294.83858453724883,,Generation 36,364.5759444027013,297.6426827138873,,Generation 36,383.8707219231152,324.1732315559284,
Generation 37,410.7320945896642,333.1630539344226,,Generation 37,353.6667372694252,294.4564520861768,,Generation 37,350.79482234277725,277.3539912644592,,Generation 37,351.37297244414395,282.4037275826048,,Generation 37,373.5837211722735,304.9549895068893,
Generation 38,397.0879211162144,337.05112597663754,,Generation 38,344.8336152165479,278.5165163815212,,Generation 38,337.6471070729097,271.7816603888708,,Generation 38,340.4771789993221,283.34904059576763,,Generation 38,363.2040403784407,300.4069436813427,
Generation 39,387.10761645557943,311.59121532295126,,Generation 39,332.91903384117876,273.38122083678854,,Generation 39,331.25374373197707,271.5619924720122,,Generation 39,329.8123758004248,264.5857282099554,,Generation 39,356.3124836649294,300.8412197672558,
Generation 40,377.11677619175885,300.5846613137429,,Generation 40,325.9237131867703,262.7924671205717,,Generation 40,321.6662057284048,255.36978889652767,,Generation 40,320.7025930128224,252.34930046856164,,Generation 40,347.97453401685476,299.0196363810767,
Generation 41,367.7458965866083,301.84282665244007,,Generation 41,317.05431708801865,261.5973453196126,,Generation 41,313.17777552693497,267.6644333950726,,Generation 41,308.78015213717333,236.57477145620646,,Generation 41,342.4134150660094,287.55635277165493,
Generation 42,359.65250182032753,294.3914418275707,,Generation 42,310.36168295789037,244.5991145554177,,Generation 42,305.9294838947171,242.48058120551036,,Generation 42,301.86878814785985,239.9948975078987,,Generation 42,336.66698881972843,282.61239424642827,
Generation 43,347.0023795449837,275.64333455167764,,Generation 43,306.9088066078924,241.27127108620584,,Generation 43,297.4071149587294,235.8077271195333,,Generation 43,292.885529077876,241.30121949350485,,Generation 43,331.95811874714144,278.86633853106173,
Generation 44,337.3498550478309,273.05189471740937,,Generation 44,302.9620672374994,245.31413088342345,,Generation 44,290.21606001456314,230.11902319207604,,Generation 44,286.14281255563685,231.23785015183762,,Generation 44,327.2846224430698,272.1117509075805,
Generation 45,328.7777707354456,269.8650895563702,,Generation 45,300.9941357967458,238.2840737433744,,Generation 45,284.8616628053349,232.3738525763713,,Generation 45,279.7752409475431,224.4050192398406,,Generation 45,319.49686614906057,258.145346976268,
Generation 46,322.1933986778403,268.2941084073252,,Generation 46,295.7335071981018,235.36607175028178,,Generation 46,281.2822316748059,226.02791814135696,,Generation 46,278.97820758835337,222.8775956782605,,Generation 46,313.4211030536077,259.81943689476634,
Generation 47,316.0647154192699,262.3098659805554,,Generation 47,291.6169235291744,234.08238593475176,,Generation 47,274.6994656706736,215.65521452229893,,Generation 47,273.80594678237395,230.17780514282776,,Generation 47,306.92513583115397,261.5672636550894,
Generation 48,307.7203368980291,246.2661872420574,,Generation 48,287.1612191753306,235.54514057563551,,Generation 48,266.7513803191849,211.55365161082534,,Generation 48,269.8443818772241,217.1240424528404,,Generation 48,299.76812140038504,248.04481616827013,
Generation 49,299.64398380502627,234.8622938136192,,Generation 49,280.645117394216,235.55955719847827,,Generation 49,263.1804172551253,207.48227629581118,,Generation 49,263.6839971662184,210.24117188523303,,Generation 49,294.837638488352,246.66417504178526,
Generation 50,292.7219295175519,230.93657462724013,,Generation 50,278.3692526359655,225.9835193970457,,Generation 50,255.65823888598644,202.66184537367815,,Generation 50,260.0403977975557,214.44678993167486,,Generation 50,288.6661013622109,245.82296786068719,
Generation 51,286.1514046840517,227.41509215358678,,Generation 51,275.39689590434807,223.3661191542509,,Generation 51,249.47211212244724,190.53649789944552,,Generation 51,256.3859028246332,199.93380919841832,,Generation 51,285.0830485187241,240.31296133357353,
Generation 52,280.5722905781203,221.63477028565376,,Generation 52,269.46881815378606,217.22070478435137,,Generation 52,237.27235327061587,183.2880908643325,,Generation 52,253.42554995658463,203.75510934816896,,Generation 52,281.34049041076145,235.30638240763494,
Generation 53,271.61687990129184,216.2490528563136,,Generation 53,261.62895471953885,213.02077698322364,,Generation 53,230.27295820654865,179.32436726174797,,Generation 53,243.04342584638016,200.0545006541447,,Generation 53,272.5047330145871,219.59021825730895,
Generation 54,261.79492038952054,208.95951756851377,,Generation 54,257.41102645740773,214.10604050984443,,Generation 54,223.57432048698476,175.15419642138045,,Generation 54,238.92286947687106,202.15646440327214,,Generation 54,264.1039417521661,217.48933962125056,
Generation 55,254.72520575913924,207.75213016618193,,Generation 55,254.19186546213095,208.2218013520245,,Generation 55,214.938924400927,175.25922435588564,,Generation 55,237.6902155338357,193.8027670758131,,Generation 55,256.32846806052,213.76714014674747,
Generation 56,245.41983556453016,197.70250739506992,,Generation 56,247.29457653095113,199.83702260986445,,Generation 56,209.25590945959124,169.02234007556422,,Generation 56,232.00094200058734,194.1501446167,,Generation 56,252.9189638050324,214.7237747390203,
Generation 57,242.92788200068767,198.24047450996613,,Generation 57,242.7993097476439,200.24329673540444,,Generation 57,210.5871312904268,172.59683619592158,,Generation 57,230.19175676632628,189.16825529532855,,Generation 57,251.97610989456473,206.84928631140735,
Generation 58,241.49951574486357,195.59731415041995,,Generation 58,241.01800148507974,194.94511165938013,,Generation 58,207.39137762524624,176.58622353093847,,Generation 58,228.9568468168298,178.22274349635234,,Generation 58,247.90226753961196,206.72399469671075,
Generation 59,240.48821314874894,199.91833468273012,,Generation 59,238.09203807177616,191.2048782573146,,Generation 59,210.77949884852066,171.63559350606147,,Generation 59,227.4999001997716,183.70089901404378,,Generation 59,248.0138620774599,207.1899253975888,
