Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,2,Mutation Rate,0.01

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 1,1791.1771463509413,1517.6103190368337,,Generation 1,1787.0393302060193,1494.6059875730018,,Generation 1,1801.071488276887,1553.977104583048,,Generation 1,1813.8990471044192,1549.0811028040644,,Generation 1,1802.7261375996975,1498.793999095105,
Generation 2,1682.7522659059675,1417.1236390746128,,Generation 2,1676.2332863019628,1441.2830582737718,,Generation 2,1683.6358257642312,1460.571206985444,,Generation 2,1695.1828577820208,1477.1502022454156,,Generation 2,1686.7207541559444,1428.8940920080954,
Generation 3,1585.0470041256258,1354.2047255575226,,Generation 3,1570.1357814274506,1331.7456839756608,,Generation 3,1578.2867626394511,1390.9704608025495,,Generation 3,1609.6573394104885,1441.2225632530215,,Generation 3,1593.9428832303322,1374.3346051983308,
Generation 4,1499.7026793095488,1271.932900972867,,Generation 4,1488.9123611495982,1302.2006571844508,,Generation 4,1487.8496458659251,1313.001620513437,,Generation 4,1525.9567003787117,1292.2748097945055,,Generation 4,1491.646683177148,1312.7616547153284,
Generation 5,1410.648638693799,1221.0045510440295,,Generation 5,1410.50530743685,1180.879208561095,,Generation 5,1410.0189743086603,1200.8770594149591,,Generation 5,1437.9913948091767,1210.432089206539,,Generation 5,1410.3640382799433,1195.2521126612078,
Generation 6,1321.4877963234844,1150.9719523795698,,Generation 6,1334.4593530403415,1177.8158989237083,,Generation 6,1335.5568263725045,1144.6045128149544,,Generation 6,1343.983512928046,1174.1959124700184,,Generation 6,1333.8371712830246,1157.0584033933776,
Generation 7,1256.6118020607328,1082.6251722353288,,Generation 7,1260.7346158930332,1090.6863248161862,,Generation 7,1259.2758230973577,1050.7711969125198,,Generation 7,1268.6590237501428,1072.3537000557951,,Generation 7,1248.380266203321,1117.2810511611565,
Generation 8,1186.7892033946744,1008.6250798302925,,Generation 8,1188.5418570324678,1023.2137225912487,,Generation 8,1185.0616254522176,983.6006214044756,,Generation 8,1182.7664939563488,994.1506091540363,,Generation 8,1180.7101226166433,1029.805023034142,
Generation 9,1115.890346528989,930.0966109633283,,Generation 9,1117.6539057712362,905.1377302095547,,Generation 9,1115.5335399097858,974.9678028864495,,Generation 9,1119.8362872219711,942.8781920602086,,Generation 9,1117.90492774806,962.8609037759041,
Generation 10,1048.1545219058446,887.3642091741515,,Generation 10,1046.83994725647,860.8451868081183,,Generation 10,1052.2761657296144,903.7770715151772,,Generation 10,1058.5333919641862,901.8841445145873,,Generation 10,1058.4762839144826,896.7345359283385,
