Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 26,508.6259219742676,425.08135878206963,,Generation 26,471.3191091909146,400.3574975982789,,Generation 26,509.7364604787874,417.6567078568613,,Generation 26,470.57615876195615,380.1038966588951,,Generation 26,506.8717821200617,413.98790653177946,
Generation 27,480.9359205744663,399.71616224298975,,Generation 27,461.4498850861478,383.9039626398294,,Generation 27,481.9521547692758,396.03610403077437,,Generation 27,448.43912067233066,371.56046337922123,,Generation 27,480.8991093677765,409.7411830736007,
Generation 28,461.0121678977383,379.02451294431444,,Generation 28,453.6927046669802,381.9031980656241,,Generation 28,457.20372425064323,374.25791005293945,,Generation 28,427.07694658531676,373.1248416074285,,Generation 28,457.5270290950982,377.7032977168858,
Generation 29,442.6150024205409,371.49892578535776,,Generation 29,432.77315922857713,363.02734672104634,,Generation 29,450.79079414406215,355.6284207746328,,Generation 29,413.36457583056165,366.51468310015184,,Generation 29,448.98433816605024,375.3102626879705,
Generation 30,421.2058847636076,341.9569685781979,,Generation 30,417.56512313742894,351.08770288429685,,Generation 30,438.52104788607073,337.2152297104228,,Generation 30,416.2386551924839,348.1025622152289,,Generation 30,439.3542567140001,356.5937699816668,
Generation 31,414.1287288168337,339.2185122548475,,Generation 31,414.3963638992851,335.6440452623589,,Generation 31,431.75710131460283,340.0013495410875,,Generation 31,400.70686962040133,342.0961367636477,,Generation 31,427.46316372630304,346.6089193867947,
Generation 32,391.5700205704218,312.65137618363735,,Generation 32,396.38537394134016,332.9667148841253,,Generation 32,417.7783644331854,340.48502699843675,,Generation 32,403.9037712047127,337.24788811836083,,Generation 32,408.1646242098141,351.8099721292755,
Generation 33,376.1601886887072,310.12066091014265,,Generation 33,379.0285412692906,322.1842672820371,,Generation 33,404.7875603582345,317.6938775401941,,Generation 33,384.37881378735204,327.2461301993318,,Generation 33,390.50258125761843,331.23666341447597,
Generation 34,359.9594571354881,296.0770025679376,,Generation 34,382.78254533922956,312.7309883707509,,Generation 34,393.16166660293527,320.5581755440461,,Generation 34,383.35597006044276,324.64119907450765,,Generation 34,390.1000685807659,326.88008257169315,
Generation 35,363.3871620461479,301.417547510792,,Generation 35,363.37840210403584,309.48638466625493,,Generation 35,388.89108029002045,310.53829329105463,,Generation 35,368.4812851596921,316.6226434299265,,Generation 35,388.7412463338498,311.0805698885182,
Generation 36,344.763339301793,290.2045396329187,,Generation 36,349.72329605387915,290.49763408807985,,Generation 36,364.0920134994209,304.76782698575755,,Generation 36,373.83939188579126,306.20263912335577,,Generation 36,380.97769468441606,296.87084405418204,
Generation 37,335.52894083925656,281.9916602995745,,Generation 37,339.40378793478527,285.05428909663544,,Generation 37,343.77707426120037,298.3418219994361,,Generation 37,369.08535104681374,306.1368843774603,,Generation 37,374.9887734303772,300.21253463106075,
Generation 38,325.617337938793,271.27339289106794,,Generation 38,344.525212441852,281.96085423998034,,Generation 38,346.92400089841084,296.69476401741997,,Generation 38,361.3927268032408,300.7047813144769,,Generation 38,356.6576750983859,291.1169455350155,
