Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 26,493.0659793551002,407.01052044460334,,Generation 26,522.4405512092982,432.5213822978876,,Generation 26,478.71303719210874,411.54844449763175,,Generation 26,568.6339299650599,492.3475141553343,,Generation 26,544.1792648724246,457.1039716121984,
Generation 27,467.0162898305241,396.58423966843407,,Generation 27,508.3721559314895,427.02313343955745,,Generation 27,474.72081956882454,388.3655533582661,,Generation 27,546.8848260308096,484.45518752204475,,Generation 27,527.3994481804439,433.62496811340134,
Generation 28,447.0117206394885,381.249722215181,,Generation 28,479.8019389731097,396.3322448438746,,Generation 28,460.55003367060004,395.6680275194684,,Generation 28,547.4909884082383,469.0356715898249,,Generation 28,499.3305179010672,425.67777548061827,
Generation 29,431.96646556351897,340.72658966124766,,Generation 29,457.4095686151488,384.0422756918481,,Generation 29,438.470632765959,366.82284928235845,,Generation 29,530.6613467687654,460.036827054996,,Generation 29,479.27157613216804,414.0551927473024,
Generation 30,430.94934841208067,367.724974624694,,Generation 30,433.04949436441564,361.83362528214855,,Generation 30,438.26514531201303,374.47664793731883,,Generation 30,506.05449670022796,438.0101701079477,,Generation 30,478.4051543459294,409.62272508032834,
Generation 31,420.77844937565897,340.26897400567134,,Generation 31,419.8791447989526,351.78052740500414,,Generation 31,432.4193962782244,364.27752367587993,,Generation 31,492.41611340122245,438.03685457392896,,Generation 31,468.99016198406673,375.90116151120606,
Generation 32,413.49009663089635,329.7851091549328,,Generation 32,419.52693217638046,354.0171153579754,,Generation 32,427.2181673529636,334.4304240712213,,Generation 32,484.3231309485018,421.48105983995424,,Generation 32,446.711118927134,381.01239295092523,
Generation 33,408.3423779794804,334.59191616321687,,Generation 33,398.7153152327675,332.9760233299728,,Generation 33,399.9639038324848,329.6260128847521,,Generation 33,474.9212895454095,401.6890658661729,,Generation 33,425.99021082787965,357.8567064964518,
Generation 34,394.0645968473425,330.48321330547185,,Generation 34,398.20456174423765,333.1482350123406,,Generation 34,395.38629967340415,320.58476512286256,,Generation 34,457.7818755032765,403.4759761921065,,Generation 34,411.2515932811852,327.3772677699742,
Generation 35,380.8627669016381,317.3329863255111,,Generation 35,377.1793459345262,313.39017632921457,,Generation 35,379.6763488083636,310.49200190061174,,Generation 35,456.30126721133854,405.8362487729256,,Generation 35,414.08895515547306,339.15448538028545,
Generation 36,378.5349733305681,321.566952253257,,Generation 36,360.60646632491347,311.1338629554152,,Generation 36,378.2739365912537,303.19238908434556,,Generation 36,455.98222786360895,390.6420178461716,,Generation 36,413.20418350419595,337.6301764459831,
Generation 37,377.75271527141524,318.330408448983,,Generation 37,365.02040785531165,309.7782297521969,,Generation 37,377.0960430593087,313.1068693361283,,Generation 37,450.7940073092668,392.76115217796394,,Generation 37,388.7941062567359,332.83602513487483,
Generation 38,359.98720090178443,299.9155038017285,,Generation 38,358.6781982211788,298.7737743602228,,Generation 38,356.5849480117666,308.5462299575373,,Generation 38,432.69039988822624,384.73386316956044,,Generation 38,375.6169742244899,326.2784389038012,
Generation 39,350.56975634350556,295.7365371594898,,Generation 39,340.64839613133023,287.7565992454747,,Generation 39,361.2366520807025,298.49762252821495,,Generation 39,435.287206139987,380.6013345743918,,Generation 39,383.3013916193995,312.7781940116355,
Generation 40,357.63902548714293,296.93315542709684,,Generation 40,345.8235293053403,288.12358407242345,,Generation 40,351.3438553903419,294.58233583796857,,Generation 40,435.30546434529066,366.10384422634195,,Generation 40,363.7870905194014,312.7087811354089,
Generation 41,339.71411645065183,286.6031412187456,,Generation 41,338.9587393401256,275.56352996418354,,Generation 41,348.5567113427632,279.8709458325011,,Generation 41,427.2003021506635,367.85823634100495,,Generation 41,350.7704321883627,304.14749003206555,
Generation 42,328.6335704746609,269.1631099260468,,Generation 42,341.57048174131637,276.74838335911727,,Generation 42,348.88302789404077,284.8072162568619,,Generation 42,425.8802174228151,376.36166462598567,,Generation 42,359.5186986807028,280.47637566745914,
Generation 43,337.68251404359887,285.2681175788041,,Generation 43,320.9403966763423,265.349941505641,,Generation 43,346.6923145334776,280.7689013597661,,Generation 43,411.26568138552494,333.0044406902032,,Generation 43,344.0087442732681,299.98086136810355,
