Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,C

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,,,,144.44864053403927,144.4486405340393
Generation 2,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,,,,144.44864053403927,144.4486405340393
Generation 3,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,,,,144.44864053403927,144.4486405340393
Generation 4,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,,,,144.44864053403927,144.4486405340393
Generation 5,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,144.4486405340393,,,,144.44864053403927,144.4486405340393

Best Mean,144.44864053403927
Best Mean Generation,1

Lowest,144.4486405340393
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,,,,158.25613763751156,158.25613763751159
Generation 2,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,,,,158.25613763751156,158.25613763751159
Generation 3,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,,,,158.25613763751156,158.25613763751159
Generation 4,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,,,,158.25613763751156,158.25613763751159
Generation 5,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,158.25613763751159,,,,158.25613763751156,158.25613763751159

Best Mean,158.25613763751156
Best Mean Generation,1

Lowest,158.25613763751159
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,144.44864053403927,144.4486405340393
Generation 2,144.44864053403927,144.4486405340393
Generation 3,144.44864053403927,144.4486405340393
Generation 4,144.44864053403927,144.4486405340393
Generation 5,144.44864053403927,144.4486405340393

Best Mean,144.44864053403927
Best Mean Generation,1

Lowest,144.4486405340393
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,158.25613763751156,158.25613763751159
Generation 2,158.25613763751156,158.25613763751159
Generation 3,158.25613763751156,158.25613763751159
Generation 4,158.25613763751156,158.25613763751159
Generation 5,158.25613763751156,158.25613763751159

Best Mean,158.25613763751156
Best Mean Generation,1

Lowest,158.25613763751159
Lowest Generation,1



2,2,:,3,0,:,5,0
