Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,C

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,,,,175.5903479746207,175.59034797462067
Generation 2,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,,,,175.5903479746207,175.59034797462067
Generation 3,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,,,,175.5903479746207,175.59034797462067
Generation 4,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,,,,175.5903479746207,175.59034797462067
Generation 5,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,175.59034797462067,,,,175.5903479746207,175.59034797462067

Best Mean,175.5903479746207
Best Mean Generation,1

Lowest,175.59034797462067
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,,,,128.0537376263473,128.05373762634727
Generation 2,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,,,,128.0537376263473,128.05373762634727
Generation 3,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,,,,128.0537376263473,128.05373762634727
Generation 4,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,,,,128.0537376263473,128.05373762634727
Generation 5,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,128.05373762634727,,,,128.0537376263473,128.05373762634727

Best Mean,128.0537376263473
Best Mean Generation,1

Lowest,128.05373762634727
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,175.5903479746207,175.59034797462067
Generation 2,175.5903479746207,175.59034797462067
Generation 3,175.5903479746207,175.59034797462067
Generation 4,175.5903479746207,175.59034797462067
Generation 5,175.5903479746207,175.59034797462067

Best Mean,175.5903479746207
Best Mean Generation,1

Lowest,175.59034797462067
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,128.0537376263473,128.05373762634727
Generation 2,128.0537376263473,128.05373762634727
Generation 3,128.0537376263473,128.05373762634727
Generation 4,128.0537376263473,128.05373762634727
Generation 5,128.0537376263473,128.05373762634727

Best Mean,128.0537376263473
Best Mean Generation,1

Lowest,128.05373762634727
Lowest Generation,1



2,2,:,3,0,:,5,0
