Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,8
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,146.61375753976944,146.61375753976944,123.25950030662659,176.45960100754982,146.61375753976944,146.61375753976944,146.61375753976944,146.61375753976944,146.61375753976944,153.10534377440695,,,,147.91207478669696,123.25950030662659
Generation 2,123.25950030662659,123.25950030662659,123.25950030662659,146.61375753976944,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,141.11196638900435,128.76129145739168,,,,127.93035175325515,123.25950030662659
Generation 3,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,,,,123.25950030662662,123.25950030662659
Generation 4,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,,,,123.25950030662662,123.25950030662659
Generation 5,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,123.25950030662659,,,,123.25950030662662,123.25950030662659

Best Mean,123.25950030662662
Best Mean Generation,3

Lowest,123.25950030662659
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,131.8924647733163,131.8924647733163,131.8924647733163,142.41962849846283,131.8924647733163,131.8924647733163,123.32891394424892,150.98317932753022,158.64008529232365,115.67200797945547,,,,135.05061389086023,115.67200797945547
Generation 2,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,123.32891394424892,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,,,,116.43769857593482,115.67200797945547
Generation 3,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,,,,115.67200797945546,115.67200797945547
Generation 4,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,,,,115.67200797945546,115.67200797945547
Generation 5,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,115.67200797945547,,,,115.67200797945546,115.67200797945547

Best Mean,115.67200797945546
Best Mean Generation,3

Lowest,115.67200797945547
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,147.91207478669696,123.25950030662659
Generation 2,127.93035175325515,123.25950030662659
Generation 3,123.25950030662662,123.25950030662659
Generation 4,123.25950030662662,123.25950030662659
Generation 5,123.25950030662662,123.25950030662659

Best Mean,123.25950030662662
Best Mean Generation,3

Lowest,123.25950030662659
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,135.05061389086023,115.67200797945547
Generation 2,116.43769857593482,115.67200797945547
Generation 3,115.67200797945546,115.67200797945547
Generation 4,115.67200797945546,115.67200797945547
Generation 5,115.67200797945546,115.67200797945547

Best Mean,115.67200797945546
Best Mean Generation,3

Lowest,115.67200797945547
Lowest Generation,1



2,2,:,2,9,:,5,9
