Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,174.95015929136957,140.14547865570927,156.39466284374043,181.30830197546356,191.32535407224617,182.07198442427938,127.62310939279581,196.54543588147723,167.77388243053264,167.77388243053264,,,,168.5912251398147,127.62310939279581
Generation 2,127.62310939279581,182.07198442427938,167.77388243053264,167.77388243053264,160.40014637373002,161.05363425744278,156.39466284374043,156.39466284374043,191.32535407224617,140.14547865570927,,,,161.09567977247497,127.62310939279581
Generation 3,146.17630398152704,150.36383751792266,140.14547865570927,156.39466284374043,162.12868252089464,134.41145897855503,156.39466284374043,156.39466284374043,136.2406263443471,160.29951515510257,,,,149.89498916852796,134.41145897855503
Generation 4,134.41145897855503,146.17630398152704,134.41145897855503,134.41145897855503,156.46191162193648,140.0782298775132,140.14547865570927,156.39466284374043,140.14547865570927,134.41145897855503,,,,141.70479015503557,134.41145897855503
Generation 5,153.91961627154933,120.57007258451893,134.41145897855503,134.41145897855503,134.41145897855503,134.41145897855503,134.41145897855503,134.41145897855503,134.41145897855503,140.14547865570927,,,,135.55153803616628,120.57007258451893

Best Mean,135.55153803616628
Best Mean Generation,5

Lowest,120.57007258451893
Lowest Generation,5



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,150.33821091237408,166.3135911176653,148.66783800747564,150.6845979790704,140.70601225527128,158.64642373127475,170.52469411649363,152.94587059762014,153.14042436063392,205.07840512771773,,,,159.70460682055972,140.70601225527128
Generation 2,148.66783800747564,166.3135911176653,144.63765777871947,146.40656538892588,152.41591393019593,159.37093416171274,158.64642373127475,150.33821091237408,140.70601225527128,150.6845979790704,,,,151.81877452626853,140.70601225527128
Generation 3,140.70601225527128,144.63765777871947,144.63765777871947,140.70601225527128,140.70601225527128,144.63765777871947,146.18819522009943,145.2024150142422,150.6845979790704,140.70601225527128,,,,143.88122305706557,140.70601225527128
Generation 4,144.63765777871947,140.70601225527128,140.70601225527128,144.63765777871947,140.70601225527128,144.63765777871947,144.63765777871947,140.70601225527128,140.70601225527128,140.70601225527128,,,,142.27867046465053,140.70601225527128
Generation 5,144.63765777871947,140.70601225527128,140.70601225527128,140.70601225527128,140.70601225527128,140.70601225527128,140.70601225527128,140.70601225527128,140.70601225527128,140.70601225527128,,,,141.0991768076161,140.70601225527128

Best Mean,141.0991768076161
Best Mean Generation,5

Lowest,140.70601225527128
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,168.5912251398147,127.62310939279581
Generation 2,161.09567977247497,127.62310939279581
Generation 3,149.89498916852796,134.41145897855503
Generation 4,141.70479015503557,134.41145897855503
Generation 5,135.55153803616628,120.57007258451893

Best Mean,135.55153803616628
Best Mean Generation,5

Lowest,120.57007258451893
Lowest Generation,5


Run 2
,Mean,Lowest
Generation 1,159.70460682055972,140.70601225527128
Generation 2,151.81877452626853,140.70601225527128
Generation 3,143.88122305706557,140.70601225527128
Generation 4,142.27867046465053,140.70601225527128
Generation 5,141.0991768076161,140.70601225527128

Best Mean,141.0991768076161
Best Mean Generation,5

Lowest,140.70601225527128
Lowest Generation,1



2,2,:,3,9,:,5,3
