Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,C

Mutation,Creep
Step size,0.5,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,,,,148.13361195033508,148.13361195033508
Generation 2,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,,,,148.13361195033508,148.13361195033508
Generation 3,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,,,,148.13361195033508,148.13361195033508
Generation 4,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,,,,148.13361195033508,148.13361195033508
Generation 5,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,148.13361195033508,,,,148.13361195033508,148.13361195033508

Best Mean,148.13361195033508
Best Mean Generation,1

Lowest,148.13361195033508
Lowest Generation,1



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,,,,124.4297730837163,124.4297730837163
Generation 2,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,,,,124.4297730837163,124.4297730837163
Generation 3,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,,,,124.4297730837163,124.4297730837163
Generation 4,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,,,,124.4297730837163,124.4297730837163
Generation 5,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,124.4297730837163,,,,124.4297730837163,124.4297730837163

Best Mean,124.4297730837163
Best Mean Generation,1

Lowest,124.4297730837163
Lowest Generation,1



Run 1
,Mean,Lowest
Generation 1,148.13361195033508,148.13361195033508
Generation 2,148.13361195033508,148.13361195033508
Generation 3,148.13361195033508,148.13361195033508
Generation 4,148.13361195033508,148.13361195033508
Generation 5,148.13361195033508,148.13361195033508

Best Mean,148.13361195033508
Best Mean Generation,1

Lowest,148.13361195033508
Lowest Generation,1


Run 2
,Mean,Lowest
Generation 1,124.4297730837163,124.4297730837163
Generation 2,124.4297730837163,124.4297730837163
Generation 3,124.4297730837163,124.4297730837163
Generation 4,124.4297730837163,124.4297730837163
Generation 5,124.4297730837163,124.4297730837163

Best Mean,124.4297730837163
Best Mean Generation,1

Lowest,124.4297730837163
Lowest Generation,1



2,2,:,2,7,:,0,9
