Number of Runs,2
Number of Generations,5
N (Size of Cromosome),10
P (Size of Population),10

Selection,Tornamunt
Tornamunt Size,2
Crossover,One Point

Mutation,Creep
Step size,1,Mutation Rate,0.4

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1
,,,,,,,,,,,,,,Mean,Best
Generation 1,207.79326744296515,186.32078210228656,133.95022729750423,133.95022729750423,133.28568974465253,123.34900112801701,143.4178200262573,161.8436966498237,180.36127403050966,192.44668791046098,,,,159.6718673629981,123.34900112801701
Generation 2,142.92350014940052,166.74628308090308,133.28568974465253,143.4178200262573,179.73889763885342,146.65801756911182,155.19323497028853,101.44145590238101,133.28568974465253,133.95022729750423,,,,143.66408161240048,101.44145590238101
Generation 3,154.89769167308577,121.31149822096725,101.44145590238101,133.95022729750423,133.95022729750423,133.28568974465253,133.28568974465253,133.28568974465253,145.99348001626012,133.95022729750423,,,,132.5351876939164,101.44145590238101
Generation 4,133.95022729750423,133.95022729750423,123.34900112801701,99.40395299533125,159.7232975868631,75.00384806017041,133.28568974465253,133.95022729750423,133.95022729750423,133.95022729750423,,,,126.05169260025552,75.00384806017041
Generation 5,96.91139328580643,125.84156083754183,133.95022729750423,75.00384806017041,133.95022729750423,133.95022729750423,72.26912376380064,136.68495159387402,75.00384806017041,133.95022729750423,,,,111.75156347913806,72.26912376380064

Best Mean,111.75156347913806
Best Mean Generation,5

Lowest,72.26912376380064
Lowest Generation,5



Run 2
,,,,,,,,,,,,,,Mean,Best
Generation 1,138.16746810679274,173.89401413076266,191.43229671316783,188.24018814844948,188.93721966103726,118.40054546553466,185.8013203143205,180.9034068515599,168.17835844320228,201.16067880501095,,,,173.51154966398383,118.40054546553466
Generation 2,170.2229351997648,116.35596870897211,188.69912367629024,130.3717512820624,121.23124180626664,182.97062397358854,164.4959334085204,190.3014875738022,169.89921129890706,172.17316127505785,,,,160.6721438203232,116.35596870897211
Generation 3,130.3717512820624,130.3717512820624,116.35596870897211,172.17316127505785,116.35596870897211,172.17316127505785,130.3717512820624,130.3717512820624,158.01669223263252,133.11376087254118,,,,138.96757182014832,116.35596870897211
Generation 4,144.8813955355892,101.84632445544531,130.3717512820624,130.3717512820624,130.3717512820624,130.3717512820624,116.35596870897211,133.11376087254118,130.3717512820624,158.01669223263252,,,,130.60728982154924,101.84632445544531
Generation 5,130.3717512820624,101.84632445544531,101.84632445544531,116.35596870897211,118.40054546553466,113.81753027197308,119.8680329815355,126.85968700949903,101.84632445544531,116.35596870897211,,,,114.75684577948849,101.84632445544531

Best Mean,114.75684577948849
Best Mean Generation,5

Lowest,101.84632445544531
Lowest Generation,4



Run 1
,Mean,Lowest
Generation 1,159.6718673629981,123.34900112801701
Generation 2,143.66408161240048,101.44145590238101
Generation 3,132.5351876939164,101.44145590238101
Generation 4,126.05169260025552,75.00384806017041
Generation 5,111.75156347913806,72.26912376380064

Best Mean,111.75156347913806
Best Mean Generation,5

Lowest,72.26912376380064
Lowest Generation,5


Run 2
,Mean,Lowest
Generation 1,173.51154966398383,118.40054546553466
Generation 2,160.6721438203232,116.35596870897211
Generation 3,138.96757182014832,116.35596870897211
Generation 4,130.60728982154924,101.84632445544531
Generation 5,114.75684577948849,101.84632445544531

Best Mean,114.75684577948849
Best Mean Generation,5

Lowest,101.84632445544531
Lowest Generation,4



2,2,:,2,7,:,0,9
